,Season,Team,C,F1,F2,G1,G2
62,1995.0,3,Hakeem Olajuwon,Detlef Schrempf,Dennis Rodman,Reggie Miller,Clyde Drexler
63,1994.0,1,Hakeem Olajuwon,Scottie Pippen,Karl Malone,Latrell Sprewell,John Stockton
64,1994.0,2,David Robinson,Charles Barkley,Shawn Kemp,Mitch Richmond,Kevin Johnson
65,1994.0,3,Shaquille O'Neal,Derrick Coleman,Dominique Wilkins,Gary Payton,Mark Price
66,1993.0,1,Hakeem Olajuwon,Charles Barkley,Karl Malone,Michael Jordan,Mark Price
67,1993.0,2,Patrick Ewing,Dominique Wilkins,Larry Johnson,John Stockton,Joe Dumars
68,1993.0,3,David Robinson,Scottie Pippen,Derrick Coleman,Tim Hardaway,Drazen Petrovic
69,1992.0,1,David Robinson,Chris Mullin,Karl Malone,Michael Jordan,Clyde Drexler
70,1992.0,2,Patrick Ewing,Scottie Pippen,Charles Barkley,John Stockton,Tim Hardaway
71,1992.0,3,Brad Daugherty,Dennis Rodman,Kevin Willis,Mark Price,Kevin Johnson
72,1991.0,1,David Robinson,Karl Malone,Charles Barkley,Michael Jordan,Magic Johnson
73,1991.0,2,Patrick Ewing,Chris Mullin,Dominique Wilkins,Kevin Johnson,Clyde Drexler
74,1991.0,3,Hakeem Olajuwon,James Worthy,Bernard King,Joe Dumars,John Stockton
75,1990.0,1,Patrick Ewing,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
76,1990.0,2,Hakeem Olajuwon,Larry Bird,Tom Chambers,Kevin Johnson,John Stockton
77,1990.0,3,David Robinson,Chris Mullin,James Worthy,Clyde Drexler,Joe Dumars
